iter	Passed	Remaining
0	1	107
1	1	89
2	2	82
3	3	79
4	4	79
5	4	77
6	5	76
7	6	74
8	7	75
9	8	75
10	9	74
11	10	74
12	11	75
13	12	74
14	13	74
15	13	73
16	14	72
17	15	71
18	16	71
19	17	69
20	18	68
21	19	68
22	20	67
23	20	66
24	21	65
25	22	64
26	23	64
27	24	63
28	25	62
29	26	62
30	27	61
31	28	60
32	29	59
33	29	58
34	30	57
35	31	56
36	32	55
37	33	54
38	34	53
39	34	52
40	36	51
41	37	51
42	38	50
43	38	49
44	39	48
45	40	47
46	41	46
47	42	45
48	43	45
49	44	44
50	45	43
51	45	42
52	46	41
53	47	40
54	49	40
55	49	39
56	50	38
57	51	37
58	52	36
59	53	35
60	54	34
61	55	33
62	56	32
63	56	32
64	57	31
65	58	30
66	59	29
67	60	28
68	61	27
69	62	26
70	63	25
71	64	25
72	65	24
73	66	23
74	67	22
75	67	21
76	68	20
77	69	19
78	70	18
79	71	17
80	71	16
81	73	16
82	73	15
83	74	14
84	75	13
85	76	12
86	77	11
87	77	10
88	78	9
89	79	8
90	80	7
91	81	7
92	82	6
93	83	5
94	83	4
95	84	3
96	85	2
97	86	1
98	87	0
99	88	0
