iter	Passed	Remaining
0	204	204556
1	205	102604
2	206	68554
3	207	51550
4	207	41349
5	208	34538
6	209	29675
7	209	26033
8	210	23192
9	211	20918
10	212	19066
11	212	17531
12	213	16223
13	214	15101
14	215	14124
15	215	13282
16	216	12530
17	217	11866
18	218	11264
19	218	10723
20	219	10232
21	220	9787
22	220	9383
23	221	9009
24	222	8666
25	222	8348
26	223	8061
27	224	7799
28	225	7545
29	226	7310
30	226	7091
31	227	6884
32	228	6688
33	228	6503
34	229	6331
35	230	6168
36	231	6014
37	231	5867
38	232	5729
39	233	5596
40	233	5471
41	234	5351
42	235	5237
43	236	5129
44	236	5025
45	237	4927
46	238	4832
47	238	4739
48	239	4652
49	240	4567
50	241	4485
51	241	4407
52	242	4332
53	243	4260
54	243	4189
55	244	4122
56	245	4057
57	245	3994
58	246	3934
59	247	3876
60	248	3820
61	248	3765
62	249	3712
63	250	3661
64	251	3611
65	251	3562
66	252	3515
67	253	3469
68	253	3424
69	254	3380
70	255	3338
71	255	3297
72	256	3257
73	257	3218
74	257	3180
75	258	3143
76	259	3109
77	260	3076
78	260	3042
79	261	3008
80	262	2976
81	262	2943
82	263	2908
83	263	2878
84	264	2849
85	265	2820
86	266	2792
87	266	2764
88	267	2737
89	268	2711
90	268	2685
91	269	2659
92	270	2634
93	270	2610
94	271	2587
95	272	2564
96	273	2541
97	273	2519
98	274	2497
99	275	2476
100	275	2455
101	276	2434
102	277	2414
103	277	2394
104	278	2374
105	279	2355
106	279	2336
107	280	2318
108	281	2300
109	282	2282
110	282	2265
111	283	2248
112	284	2233
113	285	2216
114	285	2200
115	286	2183
116	287	2166
117	287	2151
118	288	2135
119	289	2120
120	289	2105
121	290	2090
122	291	2076
123	291	2061
124	292	2047
125	293	2034
126	293	2020
127	294	2007
128	295	1995
129	296	1984
130	297	1971
131	297	1959
132	298	1946
133	299	1934
134	300	1922
135	300	1910
136	301	1898
137	302	1886
138	302	1875
139	303	1863
140	304	1852
141	304	1840
142	305	1829
143	305	1818
144	306	1808
145	307	1798
146	308	1789
147	309	1779
148	309	1769
149	310	1759
150	311	1750
151	311	1740
152	312	1730
153	313	1721
154	314	1711
155	314	1702
156	315	1693
157	316	1684
158	316	1675
159	317	1666
160	317	1656
161	318	1648
162	319	1639
163	320	1631
164	320	1624
165	321	1616
166	322	1609
167	323	1601
168	324	1593
169	324	1586
170	325	1578
171	326	1570
172	327	1563
173	327	1555
174	328	1548
175	329	1540
176	329	1533
177	330	1526
178	331	1518
179	332	1512
180	332	1505
181	333	1498
182	334	1491
183	334	1484
184	335	1477
185	336	1470
186	336	1464
187	337	1457
188	338	1451
189	338	1444
190	339	1438
191	340	1431
192	340	1425
193	341	1419
194	342	1413
195	343	1407
196	343	1401
197	344	1395
198	345	1389
199	345	1383
200	346	1377
201	347	1372
202	348	1366
203	348	1360
204	349	1354
205	350	1349
206	350	1343
207	351	1338
208	352	1333
209	352	1327
210	353	1322
211	354	1317
212	355	1311
213	355	1307
214	356	1302
215	357	1297
216	358	1291
217	358	1286
218	359	1281
219	360	1276
220	360	1271
221	361	1266
222	362	1261
223	362	1256
224	363	1251
225	364	1247
226	364	1242
227	365	1238
228	366	1233
229	367	1229
230	367	1224
231	368	1220
232	369	1216
233	370	1211
234	370	1206
235	371	1202
236	372	1197
237	372	1193
238	373	1188
239	374	1184
240	374	1180
241	375	1176
242	376	1171
243	377	1168
244	377	1164
245	379	1162
246	380	1159
247	381	1155
248	381	1151
249	382	1147
250	383	1143
251	383	1139
252	384	1135
253	385	1132
254	386	1128
255	386	1124
256	387	1120
257	388	1117
258	389	1113
259	390	1110
260	390	1106
261	391	1102
262	392	1099
263	393	1097
264	394	1093
265	395	1090
266	395	1087
267	396	1083
268	397	1080
269	398	1077
270	399	1074
271	400	1071
272	401	1067
273	401	1064
274	402	1060
275	403	1057
276	404	1054
277	404	1051
278	405	1048
279	406	1045
280	407	1043
281	408	1040
282	409	1037
283	410	1034
284	410	1030
285	411	1027
286	412	1024
287	412	1020
288	413	1017
289	414	1014
290	415	1011
291	415	1008
292	416	1005
293	417	1002
294	418	999
295	419	996
296	419	994
297	420	991
298	421	988
299	422	985
300	423	982
301	423	979
302	424	976
303	425	973
304	425	970
305	426	967
306	427	964
307	428	962
308	429	960
309	430	957
310	431	955
311	432	952
312	432	950
313	433	947
314	434	945
315	435	942
316	436	939
317	437	937
318	438	935
319	438	932
320	440	930
321	441	929
322	442	926
323	442	923
324	443	921
325	444	918
326	445	916
327	446	913
328	446	911
329	447	908
330	448	906
331	449	903
332	449	900
333	450	898
334	451	895
335	452	893
336	453	891
337	453	888
338	454	886
339	455	883
340	456	881
341	457	879
342	457	877
343	458	875
344	459	872
345	460	870
346	461	868
347	462	865
348	462	862
349	463	860
350	464	858
351	464	855
352	465	853
353	466	850
354	466	848
355	467	845
356	468	843
357	469	841
358	470	839
359	470	837
360	471	834
361	472	832
362	472	829
363	473	827
364	474	825
365	475	822
366	475	820
367	476	818
368	477	817
369	478	814
370	479	812
371	479	810
372	480	807
373	481	805
374	482	803
375	483	801
376	483	799
377	484	797
378	485	795
379	485	792
380	486	790
381	487	788
382	488	786
383	489	784
384	489	782
385	490	780
386	491	778
387	491	775
388	492	773
389	493	772
390	494	770
391	495	768
392	495	766
393	496	763
394	497	761
395	497	759
396	498	757
397	499	755
398	500	753
399	500	751
400	501	749
401	502	747
402	503	745
403	503	743
404	504	741
405	505	739
406	506	737
407	506	735
408	507	733
409	508	731
410	509	729
411	509	727
412	510	725
413	511	723
414	511	721
415	512	719
416	513	717
417	514	715
418	514	713
419	515	711
420	516	709
421	516	707
422	517	705
423	518	704
424	519	702
425	519	700
426	520	698
427	521	696
428	521	694
429	522	692
430	523	690
431	524	689
432	524	687
433	525	685
434	526	683
435	526	681
436	527	679
437	528	677
438	529	676
439	529	674
440	530	672
441	531	670
442	531	668
443	532	666
444	533	664
445	533	663
446	534	661
447	535	659
448	535	657
449	536	656
450	537	654
451	538	652
452	538	650
453	539	648
454	540	647
455	540	645
456	541	643
457	542	641
458	543	640
459	543	638
460	544	636
461	544	634
462	545	632
463	546	631
464	546	629
465	547	627
466	548	626
467	549	624
468	549	622
469	550	620
470	551	619
471	551	617
472	552	615
473	553	613
474	553	612
475	554	610
476	555	608
477	555	607
478	556	605
479	557	603
480	557	602
481	558	600
482	559	598
483	560	597
484	560	595
485	561	594
486	562	592
487	563	590
488	563	589
489	564	587
490	565	585
491	566	584
492	566	582
493	567	581
494	568	579
495	568	578
496	569	576
497	570	574
498	570	573
499	571	571
500	572	570
501	573	568
502	573	567
503	574	565
504	575	563
505	575	562
506	576	560
507	577	559
508	578	557
509	578	556
510	579	554
511	580	553
512	581	551
513	581	550
514	582	548
515	583	547
516	584	545
517	585	544
518	586	543
519	586	541
520	587	540
521	588	538
522	589	537
523	589	535
524	590	534
525	591	532
526	592	531
527	592	530
528	593	528
529	594	527
530	595	525
531	596	524
532	596	523
533	597	521
534	598	520
535	599	518
536	600	517
537	601	516
538	602	514
539	602	513
540	603	512
541	604	511
542	605	509
543	606	508
544	607	507
545	608	506
546	609	504
547	610	503
548	610	501
549	611	500
550	612	498
551	612	497
552	613	496
553	614	494
554	615	493
555	615	491
556	616	490
557	617	489
558	618	487
559	618	486
560	619	484
561	620	483
562	621	482
563	621	480
564	622	479
565	623	478
566	624	476
567	625	475
568	626	474
569	626	472
570	627	471
571	628	470
572	629	469
573	630	467
574	631	466
575	632	465
576	633	464
577	633	462
578	634	461
579	635	460
580	636	458
581	637	457
582	638	456
583	639	455
584	640	454
585	640	452
586	641	451
587	642	450
588	643	449
589	644	447
590	645	446
591	646	445
592	647	444
593	648	442
594	648	441
595	649	440
596	650	439
597	651	438
598	652	436
599	653	435
600	654	434
601	655	433
602	655	431
603	656	430
604	657	429
605	658	428
606	659	426
607	660	425
608	661	424
609	662	423
610	662	422
611	663	420
612	664	419
613	665	418
614	666	417
615	667	416
616	668	415
617	669	413
618	670	412
619	670	411
620	671	409
621	672	408
622	673	407
623	673	405
624	674	404
625	675	403
626	675	402
627	676	400
628	677	399
629	677	398
630	678	396
631	679	395
632	680	394
633	680	393
634	681	391
635	682	390
636	683	389
637	683	387
638	684	386
639	685	385
640	686	384
641	687	383
642	687	381
643	688	380
644	689	379
645	690	378
646	690	376
647	691	375
648	692	374
649	693	373
650	693	371
651	694	370
652	695	369
653	696	368
654	696	367
655	697	365
656	698	364
657	699	363
658	700	362
659	701	361
660	702	360
661	703	359
662	704	357
663	704	356
664	705	355
665	706	354
666	707	353
667	708	351
668	708	350
669	709	349
670	710	348
671	711	347
672	711	345
673	712	344
674	713	343
675	713	342
676	714	340
677	715	339
678	716	338
679	716	337
680	717	336
681	718	335
682	719	333
683	719	332
684	720	331
685	721	330
686	721	328
687	722	327
688	723	326
689	724	325
690	724	324
691	725	322
692	726	321
693	727	320
694	727	319
695	728	318
696	729	317
697	730	315
698	730	314
699	731	313
700	732	312
701	732	311
702	733	309
703	734	308
704	734	307
705	735	306
706	736	305
707	737	303
708	737	302
709	738	301
710	739	300
711	739	299
712	740	298
713	741	296
714	742	295
715	742	294
716	743	293
717	744	292
718	744	291
719	745	289
720	746	288
721	746	287
722	747	286
723	748	285
724	748	284
725	749	282
726	750	281
727	750	280
728	751	279
729	752	278
730	753	277
731	754	276
732	755	275
733	756	274
734	756	272
735	757	271
736	758	270
737	759	269
738	759	268
739	760	267
740	761	266
741	761	264
742	762	263
743	763	262
744	763	261
745	764	260
746	765	259
747	766	258
748	767	257
749	768	256
750	768	254
751	769	253
752	770	252
753	771	251
754	772	250
755	772	249
756	773	248
757	774	247
758	775	246
759	775	244
760	776	243
761	777	242
762	778	241
763	778	240
764	779	239
765	780	238
766	780	237
767	781	236
768	782	235
769	783	234
770	784	232
771	784	231
772	785	230
773	786	229
774	787	228
775	787	227
776	788	226
777	789	225
778	790	224
779	790	223
780	791	221
781	792	220
782	793	219
783	793	218
784	794	217
785	795	216
786	795	215
787	796	214
788	797	213
789	798	212
790	798	211
791	799	209
792	800	208
793	800	207
794	801	206
795	802	205
796	803	204
797	803	203
798	804	202
799	805	201
800	806	200
801	806	199
802	807	198
803	808	196
804	808	195
805	809	194
806	810	193
807	810	192
808	811	191
809	812	190
810	813	189
811	814	188
812	814	187
813	815	186
814	816	185
815	816	184
816	817	183
817	818	182
818	818	180
819	819	179
820	820	178
821	820	177
822	821	176
823	822	175
824	823	174
825	823	173
826	824	172
827	825	171
828	826	170
829	826	169
830	827	168
831	828	167
832	828	166
833	829	165
834	830	164
835	830	163
836	831	161
837	832	160
838	833	159
839	833	158
840	834	157
841	835	156
842	835	155
843	836	154
844	837	153
845	838	152
846	838	151
847	839	150
848	840	149
849	840	148
850	841	147
851	842	146
852	843	145
853	843	144
854	844	143
855	845	142
856	845	141
857	846	140
858	847	139
859	847	138
860	848	136
861	849	135
862	850	134
863	850	133
864	851	132
865	852	131
866	852	130
867	853	129
868	854	128
869	855	127
870	855	126
871	856	125
872	857	124
873	858	123
874	858	122
875	859	121
876	860	120
877	860	119
878	861	118
879	862	117
880	863	116
881	863	115
882	864	114
883	865	113
884	865	112
885	866	111
886	867	110
887	868	109
888	868	108
889	869	107
890	870	106
891	870	105
892	871	104
893	872	103
894	873	102
895	873	101
896	874	100
897	875	99
898	875	98
899	876	97
900	877	96
901	877	95
902	878	94
903	879	93
904	880	92
905	880	91
906	881	90
907	882	89
908	883	88
909	883	87
910	884	86
911	885	85
912	886	84
913	886	83
914	887	82
915	888	81
916	888	80
917	889	79
918	890	78
919	891	77
920	891	76
921	892	75
922	893	74
923	893	73
924	894	72
925	895	71
926	895	70
927	896	69
928	897	68
929	898	67
930	898	66
931	899	65
932	900	64
933	900	63
934	901	62
935	902	61
936	903	60
937	903	59
938	904	58
939	905	57
940	905	56
941	906	55
942	907	54
943	907	53
944	908	52
945	909	51
946	910	50
947	910	49
948	911	48
949	912	48
950	913	47
951	913	46
952	914	45
953	915	44
954	915	43
955	916	42
956	917	41
957	917	40
958	918	39
959	919	38
960	919	37
961	920	36
962	921	35
963	922	34
964	923	33
965	923	32
966	924	31
967	925	30
968	925	29
969	926	28
970	927	27
971	928	26
972	928	25
973	929	24
974	930	23
975	930	22
976	931	21
977	932	20
978	932	20
979	933	19
980	934	18
981	935	17
982	936	16
983	936	15
984	937	14
985	938	13
986	938	12
987	939	11
988	941	10
989	942	9
990	943	8
991	944	7
992	944	6
993	945	5
994	946	4
995	947	3
996	948	2
997	948	1
998	949	0
999	950	0
